CMDLINE python3 scripts/run.py
MEM 645.097656 1725625929.3613
MEM 645.097656 1725625929.4664
MEM 647.097656 1725625929.5684
MEM 647.097656 1725625929.6696
MEM 647.097656 1725625929.7723
MEM 647.097656 1725625929.8737
MEM 647.472656 1725625929.9756
MEM 640.597656 1725625930.0777
MEM 641.250000 1725625930.1798
MEM 641.250000 1725625930.2816
MEM 641.250000 1725625930.3828
MEM 641.250000 1725625930.4835
MEM 641.250000 1725625930.5844
MEM 641.250000 1725625930.6864
MEM 641.250000 1725625930.7879
MEM 641.250000 1725625930.8894
MEM 641.250000 1725625930.9907
MEM 641.250000 1725625931.0918
MEM 641.250000 1725625931.1928
MEM 641.250000 1725625931.2950
MEM 641.250000 1725625931.3957
MEM 641.250000 1725625931.4974
MEM 641.250000 1725625931.5988
MEM 641.250000 1725625931.7002
MEM 641.250000 1725625931.8014
MEM 641.250000 1725625931.9026
MEM 641.250000 1725625932.0037
MEM 641.250000 1725625932.1048
MEM 641.250000 1725625932.2055
MEM 641.250000 1725625932.3066
MEM 641.250000 1725625932.4079
MEM 641.250000 1725625932.5085
MEM 641.250000 1725625932.6094
MEM 641.250000 1725625932.7123
MEM 641.250000 1725625932.8136
MEM 641.250000 1725625932.9146
MEM 641.250000 1725625933.0156
MEM 641.250000 1725625933.1164
MEM 641.250000 1725625933.2182
MEM 641.250000 1725625933.3186
MEM 641.250000 1725625933.4198
MEM 641.250000 1725625933.5206
MEM 641.250000 1725625933.6216
MEM 641.250000 1725625933.7228
MEM 641.250000 1725625933.8237
MEM 641.250000 1725625933.9246
MEM 641.250000 1725625934.0256
MEM 641.250000 1725625934.1265
MEM 641.250000 1725625934.2274
MEM 641.250000 1725625934.3290
MEM 641.250000 1725625934.4295
MEM 641.250000 1725625934.5308
MEM 641.250000 1725625934.6318
MEM 641.250000 1725625934.7356
MEM 641.250000 1725625934.8374
MEM 641.250000 1725625934.9413
MEM 641.250000 1725625935.0431
MEM 641.250000 1725625935.1473
MEM 641.250000 1725625935.2486
MEM 641.250000 1725625935.3494
MEM 641.250000 1725625935.4504
MEM 641.250000 1725625935.5514
MEM 641.250000 1725625935.6541
MEM 641.250000 1725625935.7547
MEM 641.250000 1725625935.8554
MEM 641.250000 1725625935.9565
MEM 641.250000 1725625936.0577
MEM 641.250000 1725625936.1586
MEM 641.250000 1725625936.2595
MEM 641.250000 1725625936.3605
MEM 641.250000 1725625936.4616
MEM 641.250000 1725625936.5625
MEM 641.250000 1725625936.6635
MEM 641.250000 1725625936.7646
MEM 641.250000 1725625936.8665
MEM 641.250000 1725625936.9683
MEM 641.250000 1725625937.0701
MEM 641.250000 1725625937.1734
MEM 641.250000 1725625937.2755
MEM 641.250000 1725625937.3776
MEM 641.250000 1725625937.4788
MEM 641.250000 1725625937.5808
MEM 641.250000 1725625937.6816
MEM 641.250000 1725625937.7826
MEM 641.250000 1725625937.8835
MEM 641.250000 1725625937.9845
MEM 641.250000 1725625938.0855
MEM 641.250000 1725625938.1865
MEM 641.250000 1725625938.2877
MEM 641.250000 1725625938.3885
MEM 641.250000 1725625938.4928
MEM 641.250000 1725625938.5937
MEM 641.250000 1725625938.6950
MEM 641.250000 1725625938.7954
MEM 641.250000 1725625938.8966
MEM 641.250000 1725625939.0001
MEM 641.250000 1725625939.1006
MEM 641.250000 1725625939.2016
MEM 641.250000 1725625939.3024
MEM 641.250000 1725625939.4049
MEM 641.250000 1725625939.5055
MEM 641.250000 1725625939.6068
MEM 641.250000 1725625939.7076
MEM 641.250000 1725625939.8086
MEM 641.250000 1725625939.9097
MEM 641.250000 1725625940.0105
MEM 641.250000 1725625940.1117
MEM 641.250000 1725625940.2125
MEM 641.250000 1725625940.3135
MEM 641.250000 1725625940.4146
MEM 641.250000 1725625940.5154
MEM 641.250000 1725625940.6165
MEM 641.250000 1725625940.7177
MEM 641.250000 1725625940.8186
MEM 641.250000 1725625940.9197
MEM 641.250000 1725625941.0210
MEM 641.250000 1725625941.1228
MEM 641.250000 1725625941.2239
MEM 641.250000 1725625941.3285
MEM 641.250000 1725625941.4297
MEM 641.250000 1725625941.5310
MEM 641.250000 1725625941.6316
MEM 641.250000 1725625941.7326
MEM 641.250000 1725625941.8334
MEM 641.250000 1725625941.9346
MEM 641.250000 1725625942.0356
MEM 641.250000 1725625942.1364
MEM 641.250000 1725625942.2375
MEM 641.375000 1725625942.3389
MEM 641.375000 1725625942.4396
MEM 641.500000 1725625942.5406
MEM 641.500000 1725625942.6448
MEM 641.500000 1725625942.7456
MEM 641.500000 1725625942.8471
MEM 641.625000 1725625942.9486
MEM 641.625000 1725625943.0523
MEM 641.625000 1725625943.1540
MEM 641.625000 1725625943.2550
MEM 641.625000 1725625943.3570
MEM 641.625000 1725625943.4583
