CMDLINE python3 scripts/run.py
MEM 7.585938 1725625682.6496
MEM 53.871094 1725625682.7503
MEM 82.261719 1725625682.8518
MEM 115.890625 1725625682.9527
MEM 135.839844 1725625683.0537
MEM 161.695312 1725625683.1543
MEM 538.332031 1725625683.2555
MEM 490.203125 1725625683.3568
MEM 498.183594 1725625683.4573
MEM 504.433594 1725625683.5592
MEM 512.933594 1725625683.6608
MEM 522.433594 1725625683.7618
MEM 522.933594 1725625683.8633
MEM 522.171875 1725625683.9649
MEM 522.171875 1725625684.0658
MEM 522.171875 1725625684.1668
MEM 522.171875 1725625684.2686
MEM 522.171875 1725625684.3706
MEM 522.171875 1725625684.4714
MEM 522.171875 1725625684.5753
MEM 522.171875 1725625684.6769
MEM 522.171875 1725625684.7776
MEM 531.410156 1725625684.8792
MEM 531.410156 1725625684.9806
MEM 531.410156 1725625685.0819
MEM 535.410156 1725625685.1831
MEM 535.410156 1725625685.2868
MEM 535.410156 1725625685.3878
MEM 535.410156 1725625685.4887
MEM 535.410156 1725625685.5902
MEM 540.285156 1725625685.6930
MEM 540.285156 1725625685.7947
MEM 540.285156 1725625685.8966
MEM 541.285156 1725625685.9984
MEM 541.285156 1725625686.1000
MEM 541.285156 1725625686.2028
MEM 541.285156 1725625686.3038
MEM 547.160156 1725625686.4044
MEM 547.160156 1725625686.5057
MEM 547.160156 1725625686.6067
MEM 547.160156 1725625686.7106
MEM 547.160156 1725625686.8120
MEM 547.160156 1725625686.9169
MEM 547.660156 1725625687.0176
MEM 547.785156 1725625687.1206
MEM 547.785156 1725625687.2231
MEM 550.035156 1725625687.3259
MEM 550.035156 1725625687.4270
MEM 550.035156 1725625687.5300
MEM 550.035156 1725625687.6314
MEM 550.035156 1725625687.7349
MEM 552.410156 1725625687.8355
MEM 552.535156 1725625687.9364
MEM 552.660156 1725625688.0377
MEM 552.660156 1725625688.1391
MEM 554.910156 1725625688.2406
MEM 555.160156 1725625688.3418
MEM 555.160156 1725625688.4432
MEM 557.535156 1725625688.5444
MEM 557.910156 1725625688.6467
MEM 557.910156 1725625688.7480
MEM 559.410156 1725625688.8489
MEM 559.410156 1725625688.9503
MEM 559.410156 1725625689.0521
MEM 559.410156 1725625689.1535
MEM 559.410156 1725625689.2547
MEM 565.660156 1725625689.3554
MEM 565.660156 1725625689.4570
MEM 565.660156 1725625689.5589
MEM 566.035156 1725625689.6605
MEM 566.035156 1725625689.7620
MEM 566.035156 1725625689.8628
MEM 566.035156 1725625689.9636
MEM 566.285156 1725625690.0646
MEM 566.285156 1725625690.1659
MEM 566.285156 1725625690.2667
MEM 569.410156 1725625690.3676
MEM 569.410156 1725625690.4703
MEM 569.535156 1725625690.5717
MEM 571.785156 1725625690.6725
MEM 571.785156 1725625690.7737
MEM 571.785156 1725625690.8755
MEM 571.785156 1725625690.9767
MEM 574.910156 1725625691.0774
MEM 574.910156 1725625691.1790
MEM 576.035156 1725625691.2803
MEM 576.035156 1725625691.3817
MEM 576.160156 1725625691.4823
MEM 577.660156 1725625691.5838
MEM 577.660156 1725625691.6847
MEM 578.910156 1725625691.7856
MEM 578.910156 1725625691.8874
MEM 578.910156 1725625691.9890
MEM 581.160156 1725625692.0910
MEM 581.160156 1725625692.1943
MEM 582.035156 1725625692.2967
MEM 582.035156 1725625692.4023
MEM 582.035156 1725625692.5048
MEM 582.035156 1725625692.6068
MEM 584.410156 1725625692.7077
MEM 584.410156 1725625692.8092
MEM 584.910156 1725625692.9150
MEM 584.910156 1725625693.0159
MEM 584.910156 1725625693.1172
